Timestamp,ViewerBot,MapID,MapName,Player,ItemName,Quantity,Rarity
11:34 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Lockpicks,1,White
11:34 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dwarven Scout Armor,1,White
11:35 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Raven Staff,1,White
2026-02-20 23:35:13,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,104,Currency
2026-02-20 23:35:57,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,110,Currency
11:35 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Idol,1,White
2026-02-20 23:35:58,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,109,Currency
11:36 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Vial of Dye [Silver],1,Dyes
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Vial of Dye [Blue],1,Dyes
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Cane,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Molten Claw,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Raven Staff,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Jeweled Staff,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Molten Claw,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Molten Claw,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Molten Claws,1,White
2026-02-20 23:38:36,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,108,Currency
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Molten Claws,1,White
11:38 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Divine Symbol,1,White
11:39 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Grim Cesta,1,White
2026-02-20 23:39:15,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,103,Currency
11:39 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Molten Claw,1,White
11:39 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Accursed Icon,1,White
11:39 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Shortbow,1,Purple
11:39 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Fire Staff,1,Gold
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Titan Armor,1,Gold
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Inscribed Staff,1,Gold
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Elite Elementalist Tome,1,Tomes
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Cane,1,Gold
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Smiting Rod,1,Gold
11:40 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Healing Ankh,1,Purple
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Molten Claw,1,White
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Molten Claws,1,White
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Titan Armor,1,White
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Titan Armor,1,Purple
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Titan Armor,1,Gold
11:42 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Fellblade,1,Gold
11:43 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Idol,1,Gold
11:43 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Earth Staff,1,Gold
11:43 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Wolf's Greed,1,Gold
11:43 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Earth Staff,1,Purple
11:43 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Recurve Bow,1,Purple
11:53 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dwarven Warrior Armor,1,White
11:53 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Half Moon,1,White
11:53 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Stone Summit Badge,1,White
11:54 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Earth Scroll,1,White
2026-02-20 23:54:02,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
2026-02-20 23:54:02,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,108,Currency
