Timestamp,ViewerBot,MapID,MapName,Player,ItemName,Quantity,Rarity
11:54 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Water Wand,1,White
2026-02-20 23:57:46,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,105,Currency
11:57 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Dwarven Scout Armor,1,White
2026-02-20 23:57:47,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,103,Currency
2026-02-20 23:57:48,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
2026-02-20 23:57:48,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,102,Currency
11:57 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Stone Summit Badge,1,White
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Earth Scroll,1,Gold
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Summit Warlord Shield,1,Gold
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Stone Summit Shield,1,Gold
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Dolyak Cladding,1,Purple
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Summit Warlord Shield,1,Gold
11:58 PM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Dolyak Cladding,1,Gold
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Stone Summit Badge,1,White
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Ritualist Sestt,Stone Summit Shield,1,White
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Raven Staff,1,Blue
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dwarven Scout Armor,1,Blue
2026-02-21 00:05:45,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,109,Currency
2026-02-21 00:05:45,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Truncheon,1,Gold
2026-02-21 00:05:46,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Dupljakus D,Lockpicks,1,White
2026-02-21 00:05:47,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,104,Currency
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dolyak Cladding,1,Blue
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Cetiri,Stone Summit Badge,1,White
2026-02-21 00:05:49,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,111,Currency
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Jedan,Stone Summit Badge,1,White
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Tri,Dwarven Robes,1,White
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Vial of Dye [Pink],1,Dyes
2026-02-21 00:05:58,FEATURE DISABLED,92,Tasca's Demise,FEATURE DISABLED,Gold,101,Currency
12:05 AM,FEATURE DISABLED,92,Tasca's Demise,Trovacica Dusa,Dwarven Scout Armor,1,White
12:06 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Pett,Dolyak Cladding,1,Gold
12:06 AM,FEATURE DISABLED,92,Tasca's Demise,Mesmer Sedam,Smiting Rod,1,Gold
